date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:08:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jul%202024%2006:08:54%20GMT	https://bitplex-global.co/robots.txt		(from )
07:08:55	49316/49316	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:08:54%20GMT	https://bitplex-global.co/	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/index.html	(from )
07:08:56	92458/92458	---MC-	200	added ('OK')	text/javascript	date:Thu,%2018%20Jul%202024%2006:08:55%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/Success%20Emmanuel/Desktop/bitcoin/translate.google.com/translate_a/elementa0d8.js	(from https://bitplex-global.co/)
07:08:57	140930/140930	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/css/bootstrap.css	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/css/bootstrap.css	(from https://bitplex-global.co/)
07:08:57	28401/28401	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/css/responsive.css	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/css/responsive.css	(from https://bitplex-global.co/)
07:08:57	255834/255834	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202023%2002:23:35%20GMT	https://bitplex-global.co/css/style.css	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/css/style.css	(from https://bitplex-global.co/)
07:08:58	2962/2962	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202023%2021:11:08%20GMT	https://bitplex-global.co/css/color-switcher-design.css	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/css/color-switcher-design.css	(from https://bitplex-global.co/)
07:08:59	12850/12850	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/images/background/pattern-0.png	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/background/pattern-0.png	(from https://bitplex-global.co/)
07:08:59	58823/58823	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2029%20Jan%202024%2013:58:42%20GMT	https://bitplex-global.co/images/Avon.png1	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/Avon.png1	(from https://bitplex-global.co/)
07:09:00	49316/49316	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:08:59%20GMT	https://bitplex-global.co/?a=home	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/indexbc14.html	(from https://bitplex-global.co/)
07:09:00	23631/23631	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:08:59%20GMT	https://bitplex-global.co/?a=about_us	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/indexd233.html	(from https://bitplex-global.co/)
07:09:00	22404/22404	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:08:59%20GMT	https://bitplex-global.co/?a=basic	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/indexf26f.html	(from https://bitplex-global.co/)
07:09:01	19981/19981	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:09:00%20GMT	https://bitplex-global.co/?a=sustain	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/index914b.html	(from https://bitplex-global.co/)
07:09:01	19187/19187	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:09:00%20GMT	https://bitplex-global.co/?a=support	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/index15a0.html	(from https://bitplex-global.co/)
07:09:01	8421/8421	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:09:00%20GMT	https://bitplex-global.co/?a=login	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/indexc30b.html	(from https://bitplex-global.co/)
07:09:02	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jul%202024%2006:09:00%20GMT	https://bitplex-global.co/ABEXTRADE.mp4	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/ABEXTRADE.mp4	(from https://bitplex-global.co/)
07:09:03	11818/11818	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:09:01%20GMT	https://bitplex-global.co/?a=signup	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/indexcca3.html	(from https://bitplex-global.co/)
07:09:04	13462/13462	---MCZ	200	added ('OK')	text/javascript	etag:W/%22993918bc422ec61fa565ae30083117f4%22	https://s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	C:/Users/Success%20Emmanuel/Desktop/bitcoin/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	(from https://bitplex-global.co/)
07:09:05	547747/547747	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/images/b.jpg	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/b.jpg	(from https://bitplex-global.co/)
07:09:05	1217375/1217375	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/images/home-banner-bg.jpg	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/home-banner-bg.jpg	(from https://bitplex-global.co/)
07:09:05	228155/228155	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/images/bg5.png	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/bg5.png	(from https://bitplex-global.co/)
07:09:05	27087/27087	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2011:01:34%20GMT	https://bitplex-global.co/images/background/pattern-7.png	C:/Users/Success%20Emmanuel/Desktop/bitcoin/bitplex-global.co/images/background/pattern-7.png	(from https://bitplex-global.co/)
